"ID","station_id","base_power","mwh_per_year","water_turbine_type","reservoir_id","reservoir_name","hydro_type","max_head","min_head"
"1","01113300000061","51.200000","527300.000000","NULL","900233080000000012","乌溪江水库","径流式","117.00","73.00"
"2","01113308220009","1.800000","31.000000","贯流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"3","01113308220010","0.010000","32.000000","混流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"4","01113308220011","0.200000","30.000000","混流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"5","01113308220012","0.600000","38.000000","贯流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"6","01113308220013","0.640000","20.000000","贯流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"7","01113308220014","0.800000","21.000000","斜流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"8","01113308220015","0.500000","50.000000","斜流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"9","01113308220016","2.000000","231.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"10","01113308220017","0.800000","54.000000","混流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"11","01113308220018","0.800000","52.000000","混流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"12","01113308000039","40.000000","58400.000000","混流式","900233000000000001","紧水滩水库","可调节","NULL","NULL"
"13","01113308000040","12.600000","18396.000000","混流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"14","01113308000041","14.000000","20440.000000","混流式","900233000000000001","紧水滩水库","可调节","NULL","NULL"
"15","01113308000042","14.500000","21170.000000","混流式","900233000000000001","紧水滩水库","可调节","NULL","NULL"
"16","01113308000043","4.800000","7008.000000","混流式","900233000000000001","紧水滩水库","可调节","NULL","NULL"
"17","01113308000044","16.000000","23360.000000","混流式","900233000000000001","紧水滩水库","可调节","NULL","NULL"
"18","01113308000045","12.600000","18396.000000","混流式","900233000000000001","紧水滩水库","可调节","NULL","NULL"
"19","01113308000046","7.200000","10512.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"20","01113308000047","5.000000","1.000000","NULL","900233000000000001","紧水滩水库","NULL","NULL","NULL"
"21","01113308000048","10.000000","14600.000000","贯流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"22","01113308000049","3.960000","5781.600000","贯流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"23","01113308000050","6.400000","9344.000000","贯流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"24","01113308000051","16.000000","23360.000000","贯流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"25","01113308000052","2.230000","3255.800000","贯流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"26","01113308000053","5.000000","7300.000000","贯流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
