"ID","area_code","area_name","observe_time","data_time","rain","temperature","humidity","solar_radiation","wind_direction_ten","wind_direction_hundred","wind_speed_ten","wind_speed_hundred","cloud_amount"
43009,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,NULL,NULL,0.0000,12.1400,74.7300,0.7700,0.9800,NULL
43010,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',0.0000,13.8200,94.4200,NULL,NULL,63.4100,0.6700,NULL,100.0000
43013,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,13.7100,98.2300,NULL,34.0500,58.1600,NULL,2.8800,92.7100
43014,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',NULL,14.0000,97.5300,0.0000,35.0500,54.3900,NULL,2.5400,100.0000
43020,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',NULL,14.2800,93.9900,0.0000,72.0400,68.3200,0.9300,NULL,NULL
43022,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',0.0000,NULL,93.5700,0.0000,72.3100,63.7400,0.8700,2.0700,95.5600
43023,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',0.0000,14.2800,NULL,NULL,72.0400,68.3200,0.9300,2.1900,97.8700
43024,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,NULL,96.1700,0.0000,58.2800,NULL,1.0500,2.8300,NULL
43025,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,NULL,95.0400,0.0000,NULL,56.6400,NULL,2.6900,NULL
43026,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',NULL,14.0400,96.1700,0.0000,58.2800,64.9700,1.0500,NULL,NULL
43029,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',0.1600,NULL,97.0600,0.0000,54.1100,64.4600,1.9000,3.8400,NULL
43030,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,NULL,94.8900,0.0000,NULL,67.6600,2.1400,3.9200,99.0500
43035,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 05:00:00.000000',0.0000,14.0200,95.8900,NULL,55.1100,61.2500,1.1600,2.3100,NULL
43036,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',NULL,14.4700,NULL,0.0000,47.5600,62.6700,0.7700,1.5600,NULL
43037,'330825','龙游县','2023-11-09 08:00:00.000000','2023-11-09 14:00:00.000000',NULL,22.0400,46.0700,235.3600,NULL,340.4900,NULL,1.6200,100.0000
43038,'330824','开化县','2023-11-09 08:00:00.000000','2023-11-09 14:00:00.000000',3.2700,19.1700,81.3600,237.4400,129.5500,NULL,NULL,1.2300,100.0000
