"ID","area_code","area_name","data_time","rain","temperature","humidity","solar_radiation","wind_uv_ten","wind_uv_hundred","wind_speed_ten","wind_speed_hundred"
253324,'330800','衢州市','2023-11-09 00:00:00.000000',0.0000,15.3360,NULL,0.0000,59.4670,59.4670,0.4500,0.6500
253325,'330802','柯城区','2023-11-09 00:00:00.000000',NULL,NULL,97.1500,0.0000,48.9700,48.9700,NULL,0.6900
253326,'330803','衢江区','2023-11-09 00:00:00.000000',NULL,15.3880,NULL,0.0000,104.8150,104.8150,0.4600,0.6600
253327,'330822','常山县','2023-11-09 00:00:00.000000',0.0000,15.7310,96.5030,NULL,82.6740,82.6740,NULL,0.4400
253328,'330824','开化县','2023-11-09 00:00:00.000000',0.0000,NULL,NULL,0.0000,25.1200,25.1200,0.3100,0.4500
253329,'330825','龙游县','2023-11-09 00:00:00.000000',0.0000,NULL,NULL,0.0000,NULL,79.2670,NULL,0.3100
253330,'330881','江山市','2023-11-09 00:00:00.000000',0.0000,NULL,96.8630,0.0000,20.9370,20.9370,0.8100,1.1700
253331,'330800','衢州市','2023-11-09 01:00:00.000000',NULL,NULL,97.1940,0.0000,39.7250,39.7250,0.1700,0.2500
253332,'330802','柯城区','2023-11-09 01:00:00.000000',NULL,15.4520,97.4260,0.0000,31.9310,31.9310,0.2100,NULL
253333,'330803','衢江区','2023-11-09 01:00:00.000000',0.0000,NULL,96.4380,0.0000,83.3500,NULL,NULL,NULL
253334,'330822','常山县','2023-11-09 01:00:00.000000',0.0000,15.7560,NULL,0.0000,74.7350,74.7350,0.4400,0.6300
253335,'330824','开化县','2023-11-09 01:00:00.000000',NULL,16.3640,97.3250,NULL,5.5250,5.5250,0.2200,NULL
253336,'330825','龙游县','2023-11-09 01:00:00.000000',0.0000,NULL,NULL,0.0000,355.1680,355.1680,NULL,0.4100
253337,'330881','江山市','2023-11-09 01:00:00.000000',0.0000,15.6260,96.6100,NULL,NULL,34.8190,1.0000,NULL
253338,'330800','衢州市','2023-11-09 02:00:00.000000',0.0000,15.5000,NULL,0.0000,65.0680,NULL,NULL,0.6400
253339,'330802','柯城区','2023-11-09 02:00:00.000000',NULL,NULL,97.5960,0.0000,NULL,NULL,0.3800,0.5500
253340,'330803','衢江区','2023-11-09 02:00:00.000000',NULL,15.3950,96.5130,0.0000,58.6520,58.6520,0.7000,1.0200
253341,'330822','常山县','2023-11-09 02:00:00.000000',0.0000,NULL,96.1210,0.0000,58.8490,58.8490,NULL,0.3000
253342,'330824','开化县','2023-11-09 02:00:00.000000',0.0000,NULL,97.1780,0.0000,65.0390,65.0390,0.2600,0.3700
253343,'330825','龙游县','2023-11-09 02:00:00.000000',0.0000,15.2360,NULL,0.0000,78.1000,78.1000,0.4200,0.6100
253344,'330881','江山市','2023-11-09 02:00:00.000000',NULL,15.4670,96.9540,0.0000,NULL,353.8600,0.5400,0.7800
253345,'330800','衢州市','2023-11-09 03:00:00.000000',0.0000,15.4410,97.3950,0.0000,67.2340,67.2340,0.3500,0.5100
253346,'330802','柯城区','2023-11-09 03:00:00.000000',0.0000,15.4380,97.5440,0.0000,NULL,59.5570,NULL,0.5600
253347,'330803','衢江区','2023-11-09 03:00:00.000000',0.0000,15.2420,96.7900,NULL,160.3650,NULL,0.1100,0.1600
253348,'330822','常山县','2023-11-09 03:00:00.000000',0.0000,15.4500,96.4520,0.0000,55.0530,NULL,0.3400,0.4900
253349,'330824','开化县','2023-11-09 03:00:00.000000',0.0000,16.0630,97.5650,0.0000,NULL,2.4930,0.3800,0.5400
253350,'330825','龙游县','2023-11-09 03:00:00.000000',0.0000,15.0700,98.6570,NULL,NULL,NULL,0.1700,0.2400
253351,'330881','江山市','2023-11-09 03:00:00.000000',0.0000,15.3800,97.1190,0.0000,31.9860,31.9860,0.5200,NULL
253352,'330800','衢州市','2023-11-09 04:00:00.000000',NULL,15.2040,97.7460,0.0000,NULL,NULL,0.2200,0.3100
253353,'330802','柯城区','2023-11-09 04:00:00.000000',0.0000,15.1960,97.9130,0.0000,356.6750,356.6750,NULL,0.2900
253354,'330803','衢江区','2023-11-09 04:00:00.000000',0.0000,NULL,97.0290,0.0000,44.6430,44.6430,0.2700,0.3900
253355,'330822','常山县','2023-11-09 04:00:00.000000',0.0000,NULL,97.2160,NULL,NULL,50.0710,0.1900,NULL
253356,'330824','开化县','2023-11-09 04:00:00.000000',NULL,15.9390,98.0350,0.0000,281.2860,NULL,NULL,NULL
253357,'330825','龙游县','2023-11-09 04:00:00.000000',NULL,NULL,NULL,0.0000,52.6020,52.6020,0.2300,NULL
253358,'330881','江山市','2023-11-09 04:00:00.000000',0.0000,NULL,97.5860,0.0000,355.4200,NULL,0.5500,0.8000
253359,'330800','衢州市','2023-11-09 05:00:00.000000',0.0000,15.2720,98.0490,0.0000,68.9510,68.9510,0.4200,0.6100
253360,'330802','柯城区','2023-11-09 05:00:00.000000',NULL,15.2560,98.1340,0.0000,63.8770,63.8770,0.4200,0.6000
253361,'330803','衢江区','2023-11-09 05:00:00.000000',0.0000,15.1290,97.6650,0.0000,93.4460,93.4460,0.3200,NULL
253362,'330822','常山县','2023-11-09 05:00:00.000000',NULL,15.3840,97.5060,0.0000,NULL,60.0200,0.4600,0.6600
253363,'330824','开化县','2023-11-09 05:00:00.000000',0.0000,15.9730,98.0970,NULL,26.1460,26.1460,0.2000,0.2900
253364,'330825','龙游县','2023-11-09 05:00:00.000000',0.0000,NULL,98.9300,0.0000,NULL,24.2320,0.2100,NULL
253365,'330881','江山市','2023-11-09 05:00:00.000000',0.0000,15.4190,97.6590,NULL,32.9220,NULL,NULL,0.8600
253366,'330800','衢州市','2023-11-09 06:00:00.000000',0.0000,15.2850,NULL,0.0000,NULL,44.3300,NULL,0.8900
253367,'330802','柯城区','2023-11-09 06:00:00.000000',NULL,15.2630,NULL,0.0000,43.4800,43.4800,0.5800,0.8400
253368,'330803','衢江区','2023-11-09 06:00:00.000000',0.0000,15.1750,NULL,0.0000,47.8600,47.8600,NULL,0.9400
253369,'330822','常山县','2023-11-09 06:00:00.000000',0.0000,15.3410,NULL,0.0000,50.6640,50.6640,0.6100,0.8800
253370,'330824','开化县','2023-11-09 06:00:00.000000',0.0000,15.9190,98.3240,0.0000,NULL,29.9830,0.3200,0.4600
253371,'330825','龙游县','2023-11-09 06:00:00.000000',0.0000,14.9430,NULL,NULL,62.6620,62.6620,0.4400,NULL
253372,'330881','江山市','2023-11-09 06:00:00.000000',0.0000,NULL,97.7510,0.0000,33.0880,33.0880,NULL,1.2600
253373,'330800','衢州市','2023-11-09 07:00:00.000000',0.0000,15.5220,98.1700,20.2990,NULL,76.8670,0.9800,1.4100
253374,'330802','柯城区','2023-11-09 07:00:00.000000',0.0000,15.4810,98.3360,29.0480,80.6610,NULL,0.9300,1.3400
