"ID","area_code","area_name","observe_time","data_time","solar_radiation","wind_direction_ten","wind_direction_hundred","wind_speed_ten","wind_speed_hundred"
508320,'330800','衢州市','2023-11-08 23:45:00.000000','2023-11-09 00:00:00.000000',NULL,NULL,NULL,NULL,NULL
508321,'330802','柯城区','2023-11-08 23:45:00.000000','2023-11-09 00:00:00.000000',NULL,NULL,NULL,NULL,NULL
508322,'330803','衢江区','2023-11-08 23:45:00.000000','2023-11-09 00:00:00.000000',NULL,NULL,NULL,NULL,NULL
508323,'330822','常山县','2023-11-08 23:45:00.000000','2023-11-09 00:00:00.000000',NULL,NULL,NULL,NULL,NULL
508324,'330824','开化县','2023-11-08 23:45:00.000000','2023-11-09 00:00:00.000000',NULL,NULL,NULL,NULL,NULL
508325,'330825','龙游县','2023-11-08 23:45:00.000000','2023-11-09 00:00:00.000000',NULL,NULL,NULL,NULL,NULL
508326,'330881','江山市','2023-11-08 23:45:00.000000','2023-11-09 00:00:00.000000',NULL,NULL,NULL,NULL,NULL
508327,'330800','衢州市','2023-11-09 00:00:00.000000','2023-11-09 00:15:00.000000',0.0000,60.9200,66.0200,1.3600,NULL
508328,'330802','柯城区','2023-11-09 00:00:00.000000','2023-11-09 00:15:00.000000',0.0000,60.9200,66.0200,1.3600,NULL
508329,'330803','衢江区','2023-11-09 00:00:00.000000','2023-11-09 00:15:00.000000',0.0000,55.6200,58.2100,1.2700,3.2700
508330,'330822','常山县','2023-11-09 00:00:00.000000','2023-11-09 00:15:00.000000',NULL,NULL,47.5400,1.0800,3.0900
508331,'330824','开化县','2023-11-09 00:00:00.000000','2023-11-09 00:15:00.000000',0.0000,90.3700,36.5500,0.6600,1.0700
508332,'330825','龙游县','2023-11-09 00:00:00.000000','2023-11-09 00:15:00.000000',0.0000,73.5100,60.4400,0.8300,2.5300
508333,'330881','江山市','2023-11-09 00:00:00.000000','2023-11-09 00:15:00.000000',0.0000,48.6000,60.4300,1.3700,4.7400
508334,'330800','衢州市','2023-11-09 00:15:00.000000','2023-11-09 00:30:00.000000',NULL,NULL,64.7500,1.3700,NULL
508335,'330802','柯城区','2023-11-09 00:15:00.000000','2023-11-09 00:30:00.000000',0.0000,NULL,64.7500,1.3700,3.3600
508336,'330803','衢江区','2023-11-09 00:15:00.000000','2023-11-09 00:30:00.000000',0.0000,54.1500,57.0800,1.2700,3.2900
508337,'330822','常山县','2023-11-09 00:15:00.000000','2023-11-09 00:30:00.000000',0.0000,59.2300,47.2700,1.0800,NULL
508338,'330824','开化县','2023-11-09 00:15:00.000000','2023-11-09 00:30:00.000000',0.0000,87.6500,36.9600,0.6800,1.0800
508339,'330825','龙游县','2023-11-09 00:15:00.000000','2023-11-09 00:30:00.000000',NULL,68.2200,60.4000,0.7500,2.5500
508340,'330881','江山市','2023-11-09 00:15:00.000000','2023-11-09 00:30:00.000000',0.0000,49.5100,60.4400,1.3800,4.7500
508341,'330800','衢州市','2023-11-09 00:30:00.000000','2023-11-09 00:45:00.000000',0.0000,59.9700,63.4900,1.3900,3.3800
508342,'330802','柯城区','2023-11-09 00:30:00.000000','2023-11-09 00:45:00.000000',0.0000,59.9700,NULL,NULL,3.3800
508343,'330803','衢江区','2023-11-09 00:30:00.000000','2023-11-09 00:45:00.000000',0.0000,52.6800,55.9700,1.2700,NULL
508344,'330822','常山县','2023-11-09 00:30:00.000000','2023-11-09 00:45:00.000000',0.0000,58.6000,47.0100,1.0900,3.1800
508345,'330824','开化县','2023-11-09 00:30:00.000000','2023-11-09 00:45:00.000000',0.0000,NULL,37.3600,0.7100,NULL
508346,'330825','龙游县','2023-11-09 00:30:00.000000','2023-11-09 00:45:00.000000',0.0000,61.8400,60.3700,0.6900,NULL
508347,'330881','江山市','2023-11-09 00:30:00.000000','2023-11-09 00:45:00.000000',0.0000,50.4100,60.4400,1.3900,4.7600
508348,'330800','衢州市','2023-11-09 00:45:00.000000','2023-11-09 01:00:00.000000',0.0000,NULL,62.2600,1.4000,3.4100
508349,'330802','柯城区','2023-11-09 00:45:00.000000','2023-11-09 01:00:00.000000',0.0000,59.5000,NULL,NULL,3.4100
508350,'330803','衢江区','2023-11-09 00:45:00.000000','2023-11-09 01:00:00.000000',0.0000,51.1900,54.8700,NULL,NULL
508351,'330822','常山县','2023-11-09 00:45:00.000000','2023-11-09 01:00:00.000000',0.0000,NULL,NULL,1.1000,3.2200
508352,'330824','开化县','2023-11-09 00:45:00.000000','2023-11-09 01:00:00.000000',NULL,82.8300,37.7400,0.7400,1.1000
508353,'330825','龙游县','2023-11-09 00:45:00.000000','2023-11-09 01:00:00.000000',0.0000,NULL,60.3400,NULL,2.5900
508354,'330881','江山市','2023-11-09 00:45:00.000000','2023-11-09 01:00:00.000000',0.0000,51.3000,60.4400,NULL,4.7600
508355,'330800','衢州市','2023-11-09 01:00:00.000000','2023-11-09 01:15:00.000000',0.0000,NULL,61.0400,1.3900,NULL
508356,'330802','柯城区','2023-11-09 01:00:00.000000','2023-11-09 01:15:00.000000',0.0000,NULL,61.0400,1.3900,NULL
508357,'330803','衢江区','2023-11-09 01:00:00.000000','2023-11-09 01:15:00.000000',0.0000,49.0100,NULL,1.2800,3.3500
508358,'330822','常山县','2023-11-09 01:00:00.000000','2023-11-09 01:15:00.000000',0.0000,47.7100,46.5000,1.1600,3.2700
508359,'330824','开化县','2023-11-09 01:00:00.000000','2023-11-09 01:15:00.000000',NULL,NULL,38.1300,0.6400,1.1200
508360,'330825','龙游县','2023-11-09 01:00:00.000000','2023-11-09 01:15:00.000000',0.0000,NULL,60.3000,0.8300,2.6000
508361,'330881','江山市','2023-11-09 01:00:00.000000','2023-11-09 01:15:00.000000',0.0000,NULL,60.4400,NULL,4.7700
508362,'330800','衢州市','2023-11-09 01:15:00.000000','2023-11-09 01:30:00.000000',NULL,NULL,NULL,1.4000,3.4700
508363,'330802','柯城区','2023-11-09 01:15:00.000000','2023-11-09 01:30:00.000000',0.0000,51.6200,59.8400,1.4000,3.4700
508364,'330803','衢江区','2023-11-09 01:15:00.000000','2023-11-09 01:30:00.000000',0.0000,46.9000,52.7100,1.3100,NULL
508365,'330822','常山县','2023-11-09 01:15:00.000000','2023-11-09 01:30:00.000000',0.0000,38.7300,46.2600,NULL,3.3100
508366,'330824','开化县','2023-11-09 01:15:00.000000','2023-11-09 01:30:00.000000',NULL,39.1300,NULL,NULL,1.1300
