"ID","area_code","area_name","observe_time","data_time","rain","temperature","humidity","cloud_amount"
129053,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 00:00:00.000000',0.0000,NULL,86.4300,0.0000
129054,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 00:00:00.000000',0.0000,NULL,NULL,NULL
129055,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 00:00:00.000000',0.0000,15.5000,85.8400,NULL
129056,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 00:00:00.000000',0.0000,15.0900,83.6100,0.0000
129057,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 00:00:00.000000',0.0000,NULL,89.8400,0.3500
129058,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 00:00:00.000000',NULL,NULL,85.2100,0.0000
129059,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 00:00:00.000000',0.0000,14.5800,81.2100,0.0000
129060,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 01:00:00.000000',0.0000,14.6800,83.4900,0.0000
129061,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 01:00:00.000000',NULL,14.6800,83.4900,0.0000
129062,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 01:00:00.000000',NULL,14.6500,83.3800,0.0000
129063,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 01:00:00.000000',0.0000,14.8300,81.8100,NULL
129064,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 01:00:00.000000',0.0000,NULL,NULL,0.0000
129065,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 01:00:00.000000',0.0000,14.6300,83.2700,0.0000
129066,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 01:00:00.000000',0.0000,14.6700,NULL,0.0000
129067,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',0.0000,NULL,93.9900,97.8700
129068,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',NULL,14.2800,NULL,NULL
129069,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',0.0000,14.5300,93.5700,95.5600
129070,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',0.0000,14.0000,NULL,100.0000
129071,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',NULL,13.8200,94.4200,100.0000
129072,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',0.0000,14.4700,94.9600,NULL
129073,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 02:00:00.000000',NULL,14.2300,97.0600,NULL
129074,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 03:00:00.000000',NULL,14.7100,NULL,0.0000
129075,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 03:00:00.000000',0.0000,NULL,80.9400,NULL
129076,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 03:00:00.000000',0.0000,14.7100,80.5500,NULL
129077,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 03:00:00.000000',0.0000,14.7700,80.5400,0.0000
129078,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 03:00:00.000000',0.0000,NULL,NULL,0.0000
129079,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 03:00:00.000000',0.0000,14.6200,79.7800,0.0000
129080,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 03:00:00.000000',0.0000,14.8200,79.6900,0.0000
129081,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 04:00:00.000000',0.0000,14.7700,79.8000,NULL
129082,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 04:00:00.000000',0.0000,NULL,79.8000,0.0000
