"ID","area_code","area_name","observe_time","data_time","solar_radiation","wind_direction_ten","wind_direction_hundred","wind_speed_ten","wind_speed_hundred"
454721,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 00:00:00.000000',0.0000,69.8300,50.8200,0.9200,2.5200
454722,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 00:00:00.000000',0.0000,69.8300,50.8200,0.9200,2.5200
454723,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 00:00:00.000000',0.0000,69.1200,43.6100,0.8900,2.5900
454724,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 00:00:00.000000',NULL,67.8800,NULL,NULL,2.6100
454725,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 00:00:00.000000',0.0000,131.1900,93.5200,0.4300,NULL
454726,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 00:00:00.000000',0.0000,102.4200,47.4500,0.6600,2.1800
454727,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 00:00:00.000000',0.0000,NULL,NULL,NULL,3.7300
454728,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 00:15:00.000000',0.0000,NULL,NULL,0.9100,NULL
454729,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 00:15:00.000000',0.0000,63.8400,NULL,0.9100,NULL
454730,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 00:15:00.000000',0.0000,61.2900,45.6400,0.8900,2.5100
454731,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 00:15:00.000000',0.0000,63.5500,59.2400,0.6400,NULL
454732,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 00:15:00.000000',0.0000,125.3200,90.7600,NULL,1.2100
454733,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 00:15:00.000000',0.0000,89.7800,48.8500,NULL,2.1000
454734,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 00:15:00.000000',0.0000,58.5400,NULL,0.8700,3.7400
454735,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 00:30:00.000000',0.0000,57.8300,54.7300,0.9200,2.4200
454736,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 00:30:00.000000',0.0000,57.8300,54.7300,0.9200,2.4200
454737,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 00:30:00.000000',0.0000,53.5000,NULL,0.9000,NULL
454738,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 00:30:00.000000',NULL,58.2700,58.5600,0.5800,NULL
454739,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 00:30:00.000000',0.0000,117.7200,NULL,0.3300,NULL
454740,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 00:30:00.000000',NULL,67.3100,50.3700,0.3800,NULL
454741,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 00:30:00.000000',0.0000,NULL,59.7100,0.8100,3.7600
454742,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 00:45:00.000000',0.0000,51.9200,56.8000,NULL,NULL
454743,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 00:45:00.000000',0.0000,51.9200,56.8000,0.9300,2.3700
454744,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 00:45:00.000000',0.0000,46.0100,NULL,0.9200,NULL
454745,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 00:45:00.000000',0.0000,51.8200,57.8800,0.5200,2.5800
454746,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 00:45:00.000000',NULL,107.9300,84.4400,NULL,1.1000
454747,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 00:45:00.000000',0.0000,34.7100,52.0100,NULL,1.9300
454748,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 00:45:00.000000',NULL,NULL,60.5200,0.7500,3.7700
454749,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 01:00:00.000000',0.0000,46.2500,NULL,NULL,NULL
454750,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 01:00:00.000000',0.0000,46.2500,58.9600,NULL,NULL
454751,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 01:00:00.000000',0.0000,39.0400,52.5400,0.9600,2.3000
454752,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 01:00:00.000000',0.0000,43.9900,57.1900,NULL,2.5700
454753,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 01:00:00.000000',0.0000,NULL,80.8400,NULL,1.0600
454754,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 01:00:00.000000',NULL,6.9200,53.7900,0.4300,1.8500
454755,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 01:00:00.000000',0.0000,45.9200,61.3200,0.6900,NULL
454756,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 01:15:00.000000',0.0000,NULL,61.1900,0.9300,2.2900
454757,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 01:15:00.000000',0.0000,52.4800,61.1900,0.9300,2.2900
454758,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 01:15:00.000000',NULL,46.5700,55.1200,0.9100,NULL
454759,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 01:15:00.000000',0.0000,39.9000,56.5000,NULL,2.5600
454760,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 01:15:00.000000',0.0000,63.5500,NULL,NULL,NULL
454761,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 01:15:00.000000',NULL,NULL,55.7400,0.4900,1.7800
454762,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 01:15:00.000000',0.0000,49.8400,62.1100,0.9900,NULL
454763,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 01:30:00.000000',0.0000,58.9700,NULL,NULL,NULL
454764,'330802','柯城区','2023-11-08 20:00:00.000000','2023-11-09 01:30:00.000000',0.0000,58.9700,63.5000,NULL,2.2500
454765,'330803','衢江区','2023-11-08 20:00:00.000000','2023-11-09 01:30:00.000000',0.0000,NULL,57.8500,0.8800,2.1700
454766,'330822','常山县','2023-11-08 20:00:00.000000','2023-11-09 01:30:00.000000',0.0000,37.5800,NULL,0.8400,2.5500
454767,'330824','开化县','2023-11-08 20:00:00.000000','2023-11-09 01:30:00.000000',0.0000,42.6900,72.7100,0.4000,NULL
454768,'330825','龙游县','2023-11-08 20:00:00.000000','2023-11-09 01:30:00.000000',0.0000,33.0600,57.8500,0.5700,1.7000
454769,'330881','江山市','2023-11-08 20:00:00.000000','2023-11-09 01:30:00.000000',0.0000,51.9300,NULL,1.3000,3.8100
454770,'330800','衢州市','2023-11-08 20:00:00.000000','2023-11-09 01:45:00.000000',0.0000,65.5400,65.8800,0.9200,2.2200
